"","empirical"
"848","ENSG00000099364"
"849","ENSG00000099381"
"850","ENSG00000099624"
"851","ENSG00000099625"
"852","ENSG00000099783"
"853","ENSG00000099785"
"854","ENSG00000099795"
"855","ENSG00000099804"
"856","ENSG00000099810"
"857","ENSG00000099814"
"858","ENSG00000099817"
"859","ENSG00000099849"
"860","ENSG00000099875"
"861","ENSG00000099901"
"862","ENSG00000099910"
"863","ENSG00000099954"
"864","ENSG00000099958"
"865","ENSG00000099960"
"866","ENSG00000099977"
"867","ENSG00000099984"
"868","ENSG00000099985"
"869","ENSG00000099991"
"870","ENSG00000099994"
"871","ENSG00000099995"
"872","ENSG00000099999"
"873","ENSG00000100014"
"874","ENSG00000100023"
"875","ENSG00000100027"
"876","ENSG00000100029"
"877","ENSG00000100031"
"878","ENSG00000100033"
"879","ENSG00000100036"
"880","ENSG00000100055"
"881","ENSG00000100056"
"882","ENSG00000100060"
"883","ENSG00000100075"
"884","ENSG00000100078"
"885","ENSG00000100084"
"886","ENSG00000100092"
"887","ENSG00000100097"
"888","ENSG00000100124"
"889","ENSG00000100129"
"890","ENSG00000100142"
"891","ENSG00000100150"
"892","ENSG00000100167"
"893","ENSG00000100170"
"894","ENSG00000100206"
"895","ENSG00000100207"
"896","ENSG00000100209"
"897","ENSG00000100211"
"898","ENSG00000100221"
"899","ENSG00000100226"
"900","ENSG00000100227"
"901","ENSG00000100228"
"902","ENSG00000100234"
"903","ENSG00000100239"
"904","ENSG00000100263"
"905","ENSG00000100266"
"906","ENSG00000100280"
"907","ENSG00000100284"
"908","ENSG00000100297"
"909","ENSG00000100299"
"910","ENSG00000100300"
"911","ENSG00000100302"
"912","ENSG00000100311"
"913","ENSG00000100316"
"914","ENSG00000100321"
"915","ENSG00000100324"
"916","ENSG00000100325"
"917","ENSG00000100335"
"918","ENSG00000100342"
"919","ENSG00000100344"
"920","ENSG00000100345"
"921","ENSG00000100346"
"922","ENSG00000100347"
"923","ENSG00000100348"
"924","ENSG00000100351"
"925","ENSG00000100353"
"926","ENSG00000100354"
"927","ENSG00000100365"
"928","ENSG00000100368"
"929","ENSG00000100373"
"930","ENSG00000100379"
"931","ENSG00000100380"
"932","ENSG00000100393"
"933","ENSG00000100395"
"934","ENSG00000100399"
"935","ENSG00000100403"
"936","ENSG00000100410"
"937","ENSG00000100413"
"938","ENSG00000100418"
"939","ENSG00000100422"
"940","ENSG00000100439"
"941","ENSG00000100448"
"942","ENSG00000100453"
"943","ENSG00000100461"
"944","ENSG00000100473"
"945","ENSG00000100478"
"946","ENSG00000100485"
"947","ENSG00000100490"
"948","ENSG00000100504"
"949","ENSG00000100505"
"950","ENSG00000100519"
"951","ENSG00000100532"
"952","ENSG00000100564"
"953","ENSG00000100567"
"954","ENSG00000100575"
"955","ENSG00000100578"
"956","ENSG00000100592"
"957","ENSG00000100600"
"958","ENSG00000100601"
"959","ENSG00000100603"
"960","ENSG00000100605"
"961","ENSG00000100626"
"962","ENSG00000100628"
"963","ENSG00000100629"
"964","ENSG00000100644"
"965","ENSG00000100647"
"966","ENSG00000100664"
"967","ENSG00000100697"
"968","ENSG00000100711"
"969","ENSG00000100714"
"970","ENSG00000100722"
"971","ENSG00000100726"
"972","ENSG00000100764"
"973","ENSG00000100784"
"974","ENSG00000100796"
"975","ENSG00000100802"
"976","ENSG00000100852"
"977","ENSG00000100906"
"978","ENSG00000100908"
"979","ENSG00000100934"
"980","ENSG00000100982"
"981","ENSG00000100991"
"982","ENSG00000101019"
"983","ENSG00000101040"
"984","ENSG00000101082"
"985","ENSG00000101096"
"986","ENSG00000101132"
"987","ENSG00000101134"
"988","ENSG00000101144"
"989","ENSG00000101146"
"990","ENSG00000101150"
"991","ENSG00000101158"
"992","ENSG00000101181"
"993","ENSG00000101182"
"994","ENSG00000101189"
"995","ENSG00000101191"
"996","ENSG00000101199"
"997","ENSG00000101216"
"998","ENSG00000101220"
