"","target","p","padj"
"MARK3","MARK3",0.883647058823529,1
"MARK4","MARK4",0.646176470588235,1
"MC3R","MC3R",0.467705882352941,1
"MC4R","MC4R",0.401941176470588,1
"MC5R","MC5R",0.870882352941176,1
"MCL1","MCL1",0.134823529411765,1
"MDH1","MDH1",0.157411764705882,1
"MELK","MELK",0.663823529411765,1
"MET","MET",0.435058823529412,1
"MGAM","MGAM",0.689411764705882,1
"MINK1","MINK1",0.649176470588235,1
"MKNK1","MKNK1",0.440117647058824,1
"MKNK2","MKNK2",0.384529411764706,1
"MMP1","MMP1",0.751176470588235,1
"MMP12","MMP12",0.343941176470588,1
"MMP13","MMP13",0.953294117647059,1
"MMP14","MMP14",0.783823529411765,1
"MMP2","MMP2",0.532647058823529,1
"MMP3","MMP3",0.842176470588235,1
"MMP8","MMP8",0.725941176470588,1
"MMP9","MMP9",0.763882352941176,1
"MPI","MPI",0.0518235294117647,1
"MST1R","MST1R",0.591764705882353,1
"MTNR1A","MTNR1A",0.998764705882353,1
"MTNR1B","MTNR1B",0.998764705882353,1
"MTOR","MTOR",0.142588235294118,1
"MYLK","MYLK",0.709294117647059,1
"NCOA1","NCOA1",0.0347058823529412,1
"NCOA3","NCOA3",0.00694117647058824,1
"NCOR2","NCOR2",0.389411764705882,1
"NEK2","NEK2",0.809352941176471,1
"NEK4","NEK4",0.880235294117647,1
"NFKB1","NFKB1",0.0192941176470588,1
"NFKB2","NFKB2",0.0192941176470588,1
"NISCH","NISCH",0.996941176470588,1
"NOD1","NOD1",0.921647058823529,1
"NOD2","NOD2",0.725588235294118,1
"NOS2","NOS2",0.937647058823529,1
"NOX1","NOX1",0.983882352941176,1
"NOX4","NOX4",0.686235294117647,1
"NPSR1","NPSR1",0.680176470588235,1
"NPY1R","NPY1R",0.324294117647059,1
"NPY2R","NPY2R",0.509941176470588,1
"NQO2","NQO2",0.973117647058824,1
"NR0B1","NR0B1",0.495941176470588,1
"NR1H2","NR1H2",0.400176470588235,1
"NR1H3","NR1H3",0.839647058823529,1
"NR1H4","NR1H4",0.778470588235294,1
"NR1I2","NR1I2",0.985352941176471,1
"NR3C1","NR3C1",0.438764705882353,1
"NR3C2","NR3C2",0.864823529411765,1
"NR5A1","NR5A1",0.505058823529412,1
"NTRK1","NTRK1",0.888764705882353,1
